"","X","Hours.Studied","Previous.Scores","Extracurricular.Activities","Sleep.Hours","Sample.Question.Papers.Practiced","Performance.Index"
"1",1,7,99,"Yes",9,1,91
"2",2,4,82,"No",4,2,65
"3",3,8,51,"Yes",7,2,45
"4",4,5,52,"Yes",5,2,36
"5",5,7,75,"No",8,5,66
"6",6,3,78,"No",9,6,61
"7",7,7,73,"Yes",5,6,63
"8",8,8,45,"Yes",4,6,42
"9",9,5,77,"No",8,2,61
"10",10,4,89,"No",4,0,69
"11",11,8,91,"No",4,5,84
"12",12,8,79,"No",6,2,73
"13",13,3,47,"No",9,2,27
"14",14,6,47,"No",4,2,33
"15",15,5,79,"No",7,8,68
"16",16,2,72,"No",4,3,43
"17",17,8,73,"Yes",8,4,67
"18",18,6,83,"Yes",7,2,70
"19",19,2,54,"Yes",4,9,30
"20",20,5,75,"No",7,0,63
"21",21,1,99,"Yes",4,3,71
"22",22,6,96,"No",9,0,85
"23",23,9,74,"Yes",7,6,73
"24",24,1,85,"No",5,6,57
"25",25,3,61,"No",6,3,35
"26",26,7,62,"Yes",7,4,49
"27",27,4,79,"No",8,9,66
"28",28,9,84,"Yes",6,6,83
"29",29,3,94,"Yes",6,5,74
"30",30,5,90,"Yes",4,3,74
"31",31,3,61,"Yes",7,3,39
"32",32,7,44,"Yes",9,1,36
"33",33,5,70,"Yes",6,9,58
"34",34,9,52,"Yes",8,1,47
"35",35,7,67,"Yes",9,3,60
"36",36,2,97,"Yes",9,4,74
"37",37,4,59,"No",8,3,42
"38",38,9,72,"No",8,2,68
"39",39,2,55,"Yes",4,1,32
"40",40,9,68,"No",5,3,64
"41",41,5,62,"No",7,4,45
"42",42,2,63,"Yes",6,0,39
"43",43,4,73,"Yes",7,0,58
"44",44,7,46,"No",9,5,36
"45",45,8,77,"Yes",6,4,71
"46",46,3,76,"Yes",4,3,54
"47",47,1,43,"Yes",7,0,17
"48",48,4,73,"No",4,6,54
"49",49,2,81,"Yes",4,3,58
"50",50,8,61,"No",7,2,53
"51",51,4,44,"Yes",7,6,27
"52",52,2,89,"Yes",6,1,65
"53",53,6,81,"No",9,9,75
"54",54,6,62,"Yes",9,0,52
"55",55,4,93,"No",8,3,78
"56",56,6,99,"No",4,7,91
"57",57,2,54,"Yes",9,5,33
"58",58,2,70,"Yes",5,8,47
"59",59,4,98,"No",6,0,78
"60",60,8,48,"No",6,0,38
"61",61,7,82,"Yes",8,4,70
"62",62,9,97,"Yes",8,5,98
"63",63,8,92,"Yes",4,7,87
"64",64,5,64,"Yes",6,2,49
"65",65,2,64,"Yes",6,5,41
"66",66,5,88,"No",5,2,71
"67",67,8,60,"No",4,7,54
"68",68,9,48,"No",4,3,42
"69",69,9,94,"No",9,1,91
"70",70,1,87,"Yes",8,8,61
"71",71,9,77,"No",9,9,74
"72",72,7,61,"Yes",4,7,54
"73",73,9,82,"Yes",5,5,81
"74",74,8,62,"Yes",4,2,52
"75",75,1,88,"Yes",9,1,65
"76",76,8,43,"Yes",7,3,36
"77",77,8,68,"No",7,3,61
"78",78,3,54,"Yes",5,0,35
"79",79,1,40,"Yes",8,8,15
"80",80,8,93,"Yes",6,9,88
"81",81,3,69,"No",4,7,45
"82",82,3,68,"Yes",9,6,49
"83",83,1,59,"Yes",8,5,33
"84",84,5,72,"Yes",9,2,60
"85",85,7,80,"No",8,3,71
"86",86,9,83,"Yes",4,1,81
"87",87,7,75,"No",6,6,67
"88",88,9,99,"No",4,1,95
"89",89,8,61,"Yes",6,9,58
"90",90,2,52,"No",9,0,29
"91",91,1,46,"No",5,5,21
"92",92,7,47,"Yes",6,3,38
"93",93,7,67,"Yes",8,7,60
"94",94,8,84,"Yes",5,0,76
"95",95,5,82,"Yes",9,8,69
"96",96,3,48,"No",7,5,30
"97",97,8,64,"No",5,1,57
"98",98,6,95,"Yes",6,7,81
"99",99,3,55,"Yes",5,4,36
"100",100,1,49,"Yes",9,4,25
"101",101,3,50,"No",5,4,27
"102",102,5,70,"Yes",9,6,61
"103",103,3,51,"No",7,6,34
"104",104,1,99,"No",6,9,76
"105",105,5,70,"No",8,6,57
"106",106,7,53,"No",5,9,45
"107",107,7,90,"Yes",4,1,76
"108",108,9,83,"Yes",8,7,83
"109",109,3,71,"Yes",5,0,50
"110",110,7,89,"No",8,1,81
"111",111,1,92,"No",4,6,66
"112",112,4,56,"Yes",8,3,38
"113",113,4,74,"No",8,9,56
"114",114,5,40,"No",4,9,25
"115",115,7,68,"No",4,8,56
"116",116,7,90,"Yes",4,8,82
"117",117,4,43,"Yes",7,2,23
"118",118,7,62,"Yes",9,2,56
"119",119,3,67,"No",9,8,46
"120",120,6,55,"Yes",4,9,43
"121",121,2,51,"Yes",9,7,30
"122",122,9,92,"Yes",8,0,92
"123",123,5,60,"No",4,5,45
"124",124,6,84,"No",5,6,70
"125",125,4,56,"No",4,7,36
"126",126,7,79,"No",4,1,71
"127",127,9,52,"No",9,0,49
"128",128,7,91,"Yes",6,3,82
"129",129,1,97,"Yes",8,0,71
"130",130,1,71,"No",9,1,43
"131",131,9,76,"No",8,2,77
"132",132,9,89,"Yes",5,3,86
"133",133,4,54,"No",7,5,34
"134",134,9,51,"No",6,7,49
"135",135,3,88,"No",5,8,69
"136",136,7,96,"No",5,3,84
"137",137,6,54,"No",8,0,41
"138",138,8,73,"Yes",6,4,68
"139",139,9,45,"Yes",8,4,44
"140",140,5,56,"No",7,8,41
"141",141,1,87,"No",8,5,58
"142",142,3,88,"Yes",4,4,68
"143",143,8,96,"No",8,9,94
"144",144,6,59,"Yes",4,9,47
"145",145,8,48,"No",5,4,40
"146",146,9,98,"Yes",7,7,100
"147",147,4,44,"Yes",9,0,23
"148",148,1,62,"No",4,4,36
"149",149,1,72,"No",7,0,47
"150",150,4,77,"Yes",8,6,60
"151",151,7,95,"No",9,6,83
"152",152,2,53,"Yes",8,9,33
"153",153,3,56,"No",5,7,36
"154",154,1,96,"No",8,6,74
"155",155,5,58,"No",4,8,42
"156",156,1,72,"Yes",5,7,47
"157",157,8,40,"Yes",7,7,31
"158",158,1,52,"No",5,2,26
"159",159,1,85,"Yes",7,9,58
"160",160,2,66,"No",6,3,42
"161",161,2,45,"Yes",4,3,18
"162",162,6,98,"No",4,0,85
"163",163,7,45,"Yes",7,5,36
"164",164,5,72,"Yes",8,1,58
"165",165,1,69,"Yes",9,8,45
"166",166,1,85,"Yes",8,0,60
"167",167,3,74,"Yes",6,0,56
"168",168,2,62,"Yes",7,9,42
"169",169,5,49,"No",6,5,33
"170",170,6,90,"No",7,0,77
"171",171,7,58,"Yes",6,2,51
"172",172,4,90,"No",7,9,72
"173",173,7,67,"Yes",4,1,57
"174",174,8,62,"No",6,8,53
"175",175,1,43,"No",6,4,16
"176",176,6,59,"No",7,5,45
"177",177,8,58,"No",5,1,49
"178",178,5,81,"Yes",5,7,67
"179",179,4,66,"No",4,5,49
"180",180,2,96,"No",8,7,73
"181",181,6,73,"No",8,7,65
"182",182,6,43,"Yes",4,0,27
"183",183,1,95,"No",8,6,72
"184",184,9,77,"Yes",9,1,74
"185",185,6,46,"Yes",9,7,38
"186",186,3,87,"No",9,1,67
"187",187,4,46,"Yes",9,3,28
"188",188,4,89,"No",7,1,73
"189",189,3,91,"No",5,6,72
"190",190,3,65,"No",4,4,42
"191",191,3,65,"No",7,8,47
"192",192,4,93,"No",9,4,77
"193",193,7,58,"No",4,7,49
"194",194,4,48,"No",5,1,30
"195",195,9,59,"Yes",8,2,54
"196",196,1,81,"Yes",7,5,56
"197",197,8,84,"No",5,6,75
"198",198,7,89,"No",4,9,78
"199",199,2,55,"Yes",6,7,32
"200",200,8,93,"No",7,2,89
"201",201,1,56,"Yes",4,6,29
"202",202,9,61,"Yes",4,7,57
"203",203,9,52,"No",5,9,48
"204",204,2,51,"No",4,5,27
"205",205,7,49,"Yes",7,3,38
"206",206,3,40,"Yes",9,5,18
"207",207,7,71,"No",7,8,66
"208",208,9,69,"No",4,2,65
"209",209,4,47,"Yes",5,1,27
"210",210,1,60,"Yes",7,4,33
"211",211,2,61,"Yes",6,6,37
"212",212,1,57,"No",9,2,29
"213",213,5,41,"No",8,4,26
"214",214,5,87,"No",5,3,72
"215",215,7,83,"Yes",5,6,77
"216",216,9,48,"Yes",8,1,45
"217",217,9,42,"No",8,6,41
"218",218,3,93,"Yes",7,1,73
"219",219,3,65,"Yes",4,2,43
"220",220,3,60,"Yes",4,4,39
"221",221,4,69,"Yes",6,6,54
"222",222,8,67,"Yes",9,5,62
"223",223,6,75,"No",4,6,63
"224",224,8,65,"No",6,5,59
"225",225,1,73,"No",6,0,46
"226",226,8,47,"No",5,4,42
"227",227,4,49,"No",5,0,30
"228",228,1,87,"Yes",9,6,63
"229",229,8,94,"Yes",7,3,89
"230",230,4,82,"Yes",8,4,62
"231",231,6,89,"No",8,0,77
"232",232,8,93,"Yes",9,7,88
"233",233,4,53,"Yes",6,3,35
"234",234,3,79,"Yes",9,2,60
"235",235,9,94,"No",8,0,92
